,LCOE,geometry,Energy,Power,CumEnergy
81,65.2693448062138,POINT (658097.5351 448231.4134),8663.741094060128,3.05,912.8448577462098
25,65.291449934375,POINT (659091.5998 519804.0657),7922.603885401784,3.05,920.7674616316115
82,65.2955737509122,POINT (673406.1302 429344.1858),7869.967291436883,3.05,928.6374289230483
26,65.3289711330858,POINT (658892.7868 519207.627),7970.215922078178,3.05,936.6076448451265
83,65.3592980962582,POINT (673008.5044 428946.5599),7859.46333679541,3.05,944.467108181922
27,65.363967843792,POINT (658296.3481 517617.1236),8058.216150856563,3.05,952.5253243327786
84,65.3835108312108,POINT (656109.4059 444453.9679),8557.72402371235,3.05,961.083048356491
85,65.3976113514591,POINT (665851.2391 457774.4337),8708.627368054264,3.05,969.7916757245451
86,65.4013573047096,POINT (669628.6847 460359.0017),8762.018844400225,3.05,978.5536945689453
87,65.4016877832638,POINT (656308.2188 447833.7876),8261.824717106349,3.05,986.8155192860517
28,65.4089236424318,POINT (641198.4367 505887.1611),8214.001572125071,3.05,995.0295208581767
88,65.4374428259923,POINT (675791.8853 453002.9236),8680.619259212794,3.05,1003.7101401173895
89,65.46257444031,POINT (669429.8718 459364.9371),8727.327035146347,3.05,1012.4374671525358
29,65.469221355449,POINT (640601.9979 505688.3482),7787.155347704935,3.05,1020.2246225002407
90,65.5240332305635,POINT (657302.2834 446839.723),8625.58963774278,3.05,1028.8502121379834
91,65.531505318569,POINT (678575.2662 440080.0836),8162.784314502809,3.05,1037.0129964524863
92,65.5512277897205,POINT (673803.7561 430338.2504),7930.770916012348,3.05,1044.9437673684986
93,65.5515910264741,POINT (654121.2767 410059.3322),7558.362895201625,3.05,1052.5021302637
94,65.5880608261925,POINT (670423.9364 435109.7605),8021.997756516855,3.05,1060.524128020217
95,65.5976466444335,POINT (679768.1437 433320.4442),7806.9892716398945,3.05,1068.3311172918568
30,65.6087863633828,POINT (653127.2121 471293.7125),9110.537153716034,3.05,1077.4416544455728
96,65.6107584054077,POINT (655512.9671 445448.0325),8373.548137523088,3.05,1085.8152025830957
31,65.6144668336953,POINT (656308.2188 518213.5623),7990.271137191943,3.05,1093.8054737202876
