,LCOE,geometry,Energy,Power,CumEnergy
145,40.70340954906227,POINT (571812.7265 432326.3796),10138.5134990217,3.05,2607.987276938575
146,40.7057810399418,POINT (580560.4952 460557.8147),10132.094278590484,3.05,2618.1193712171657
102,40.70723207902366,POINT (570619.849 430338.2504),9426.368462486513,3.05,2627.5457396796523
147,40.7178360680546,POINT (578174.7401 427157.2436),10130.242469957868,3.05,2637.6759821496103
148,40.71879296983776,POINT (600640.6004 439483.6448),10132.377130602496,3.05,2647.8083592802127
149,40.72475365857021,POINT (581753.3727 423578.611),10127.603121748967,3.05,2657.935962401962
103,40.7281225937346,POINT (558293.4478 424970.3014),10142.473206652909,3.05,2668.0784356086147
150,40.72839826460585,POINT (516145.1081 459961.3759),10064.29344548789,3.05,2678.142729054103
151,40.72872483811526,POINT (597260.7807 437893.1414),9982.250117007,3.05,2688.1249791711098
104,40.73660273554978,POINT (571415.1007 429344.1858),10080.93789884276,3.05,2698.2059170699526
152,40.73756078802704,POINT (578572.3659 457973.2467),10123.72031231159,3.05,2708.329637382264
105,40.73978052736958,POINT (546165.8595 420596.4171),9496.912737514958,3.05,2717.826550119779
153,40.74081838077706,POINT (587121.3216 452406.4848),10123.099198730177,3.05,2727.9496493185093
154,40.74094669412569,POINT (618136.1376 497537.0183),10106.071643820533,3.05,2738.05572096233
155,40.74454686523741,POINT (552130.2472 446243.2842),10111.614904832497,3.05,2748.1673358671624
156,40.746652683615125,POINT (605412.1105 442863.4645),10110.063671069373,3.05,2758.2773995382317
157,40.74993890230104,POINT (595471.4644 410258.1451),10105.291904632706,3.05,2768.3826914428646
158,40.75320681495489,POINT (592886.8964 469106.7704),10067.408057559402,3.05,2778.4500995004237
159,40.75794437292293,POINT (593880.961 471691.3384),10021.89442822227,3.05,2788.471993928646
106,40.76181635623121,POINT (548551.6146 415824.907),9956.88171340176,3.05,2798.4288756420483
160,40.77427845708201,POINT (594676.2127 471691.3384),10095.62654142364,3.05,2808.5245021834717
107,40.77475694576982,POINT (570818.6619 429344.1858),9984.54410585619,3.05,2818.509046289328
161,40.77614339618732,POINT (667441.7425 476065.2227),10120.473354752465,3.05,2828.6295196440806
162,40.77646009797094,POINT (573602.0429 430338.2504),10112.04173607966,3.05,2838.7415613801604
163,40.78910889635267,POINT (551334.9955 445646.8454),10090.11099009065,3.05,2848.8316723702515
164,40.79599409002766,POINT (616744.4472 497338.2054),10104.021424426855,3.05,2858.935693794678
165,40.79818750454046,POINT (549943.305 453599.3624),9964.256016173773,3.05,2868.899949810852
166,40.80290064370856,POINT (595471.4644 406480.6996),10118.542149864055,3.05,2879.018491960716
167,40.80356962289941,POINT (556901.7573 453002.9236),10056.412321587371,3.05,2889.0749042823036
168,40.804103492437086,POINT (550340.9309 453201.7365),10126.568280434183,3.05,2899.2014725627378
169,40.80838839077635,POINT (621913.5831 411451.0227),10051.139332635064,3.05,2909.2526118953724
170,40.812239806614265,POINT (598056.0324 405486.635),10100.795640913007,3.05,2919.3534075362854
171,40.81476249358723,POINT (613563.4404 403299.6928),10099.417187918209,3.05,2929.4528247242033
108,40.81679129054466,POINT (563064.9579 423180.9851),10009.85744733908,3.05,2939.462682171543
172,40.823702393415104,POINT (616943.2601 400516.3119),10090.694240425384,3.05,2949.5533764119677
1,40.82486318034131,POINT (634836.4231 388985.1624),9988.127890782627,3.05,2959.54150430275
173,40.828920446173626,POINT (625691.0287 523979.1371),10082.054126233406,3.05,2969.623558428984
174,40.82991453129082,POINT (594278.5868 454593.427),10095.305514444171,3.05,2979.718863943428
109,40.83401012031688,POINT (477774.214 391370.9175),10106.671810978514,3.05,2989.8255357544062
175,40.837775344281134,POINT (599050.097 410059.3322),10102.892669198898,3.05,2999.9284284236055
176,40.84229504626919,POINT (615352.7567 473083.0288),8404.647781603868,3.05,3008.333076205209
177,40.84270393732532,POINT (549744.4921 447237.3488),10104.139577970309,3.05,3018.43721578318
178,40.8519978906122,POINT (594079.7739 410456.9581),10085.4693957479,3.05,3028.5226851789275
179,40.859710684788055,POINT (549545.6792 447833.7876),10036.784118627089,3.05,3038.5594692975546
180,40.86191387182027,POINT (593682.1481 454394.6141),10020.892257481612,3.05,3048.5803615550367
110,40.862680759722,POINT (481154.0336 392961.4208),10085.117594820476,3.05,3058.665479149857
111,40.8632287622815,POINT (478370.6527 394154.2984),10079.125443162167,3.05,3068.7446045930196
181,40.88206501063736,POINT (561474.4546 434712.1347),10079.307713309983,3.05,3078.823912306329
112,40.88446235910969,POINT (548352.8016 414433.2165),10024.771756989949,3.05,3088.848684063319
182,40.885348205250885,POINT (598056.0324 410655.771),10047.169110359702,3.05,3098.895853173679
